Company Name,Statement Name,Statement URL
AIG,aig-group-tax-strategy-statement.pdf,https://www.aig.co.uk/content/dam/aig/emea/united-kingdom/documents/Report-and-Accounts/aig-group-tax-strategy-statement.pdf
Alphabet,uk-tax-strategy.pdf,https://abc.xyz/assets/investor/static/pdf/uk-tax-strategy.pdf
Apple,uk-tax-policy.pdf,https://www.apple.com/legal/more-resources/docs/uk-tax-policy.pdf
Berkshire Hathaway,tax-strategy-statement.pdf,https://www.bhei.eu/wp-content/uploads/2021/10/tax-strategy-statement.pdf
Enbridge,ENB_2022_UK_Tax_Strategy.pdf,https://www.enbridge.com/-/media/Enb/Documents/Governance/ENB_2022_UK_Tax_Strategy.pdf
Goldman Sachs,gs-uk-tax-strategy.pdf,https://www.goldmansachs.com/disclosures/gs-uk-tax-strategy.pdf
Huawei,huawei-uk-tax-strategy,https://www.huawei.com/uk/declarations/huawei-uk-tax-strategy
RBC,uk-tax-strategy.html,https://www.rbc.com/_assets-custom/includes/uk-tax-strategy.html
Restaurant Brands International,UK-Tax-Strategy.pdf,https://s26.q4cdn.com/317237604/files/doc_downloads/governance/UK-Tax-Strategy.pdf
SNC-Lavalin,en-uk-tax-strategy.pdf,https://www.snclavalin.com/~/media/Files/S/SNC-Lavalin/documents/governance/en/uk-tax-strategy.pdf
